objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
812125,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.05900862,51.5111666,,20180214,20210715
812126,Newham,Newham,Maple,Maple,Acer platanoides columnare,Maple,,,,,,,,0.05617435,51.50973792,,20180214,20210715
812127,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.05621876,51.50966789,,20180214,20210715
812128,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.05627987,51.50964884,,20180214,20210715
812129,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.05635746,51.50964388,,20180214,20210715
812130,Newham,Newham,Hornbeam,Hornbeam,Carpinus betulus fastigiata,Hornbeam,,,,,,,,0.05644694,51.50971066,,20180214,20210715
812131,Newham,Newham,Beech,Beech,Fagus sylvatica rotundifolia,Beech,,,,,,,,0.05977749,51.51185363,,20180214,20210715
812132,Newham,Newham,Maple,Maple,Acer platanoides columnare,Maple,,,,,,,,0.05628115,51.50974144,,20180214,20210715
812133,Newham,Newham,Birch,Birch,Betula utilis,Birch,,,,,,,,0.05559823,51.51054567,,20180214,20210715
812134,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.05553543,51.51062321,,20180214,20210715
812135,Newham,Newham,Maple,Maple,Acer campestre streetwise,Maple,,,,,,,,0.0556152,51.51079447,,20180214,20210715
812136,Newham,Newham,Birch,Birch,Betula utilis,Birch,,,,,,,,0.05574376,51.51080121,,20180214,20210715
812137,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.05576554,51.5108368,,20180214,20210715
812138,Newham,Newham,Birch,Birch,Betula utilis,Birch,,,,,,,,0.05582266,51.51082501,,20180214,20210715
812139,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.05727268,51.51124562,,20180214,20210715
812140,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05763514,51.5113256,,20180214,20210715
812141,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05777105,51.51136728,,20180214,20210715
812142,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05787611,51.51139601,,20180214,20210715
812143,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05796801,51.51142047,,20180214,20210715
812144,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05805866,51.51144946,,20180214,20210715
812145,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05831543,51.51151869,,20180214,20210715
812146,Newham,Newham,Maple,Maple,Acer platanoides columnare,Maple,,,,,,,,0.05855786,51.51133368,,20180214,20210715
